 Deff   Wavelength  Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10        06.50  2.1586992700e+00  6.4200460900e-01  1.5166946610e+00  7.0259655065e-01  2.8320736700e+02  1.8880576200e+03  8.9114189932e-01
   10        06.60  2.1533041000e+00  6.3014018500e-01  1.5231639150e+00  7.0736126634e-01  2.8320736700e+02  1.8880576200e+03  8.8894427652e-01
   10        06.70  2.1485438300e+00  6.1892700200e-01  1.5296168280e+00  7.1193187062e-01  2.8320736700e+02  1.8880576200e+03  8.8686736431e-01
   10        06.80  2.1431458000e+00  6.0784095500e-01  1.5353048450e+00  7.1637909329e-01  2.8320736700e+02  1.8880576200e+03  8.8466419927e-01
   10        06.90  2.1311838600e+00  5.8921480200e-01  1.5419690580e+00  7.2352699687e-01  2.8320736700e+02  1.8880576200e+03  8.8227715153e-01
   10        07.00  2.1201219600e+00  5.7131665900e-01  1.5488053010e+00  7.3052651226e-01  2.8320736700e+02  1.8880576200e+03  8.7983370615e-01
   10        07.10  2.1109051700e+00  5.5389863300e-01  1.5570065370e+00  7.3760136605e-01  2.8320736700e+02  1.8880576200e+03  8.7717750843e-01
   10        07.20  2.0990686400e+00  5.3720402700e-01  1.5618646130e+00  7.4407505464e-01  2.8320736700e+02  1.8880576200e+03  8.7475627609e-01
   10        07.30  2.0895562200e+00  5.2108085200e-01  1.5684753680e+00  7.5062606739e-01  2.8320736700e+02  1.8880576200e+03  8.7215539126e-01
   10        07.40  2.0816097300e+00  5.0554925200e-01  1.5760604780e+00  7.5713542999e-01  2.8320736700e+02  1.8880576200e+03  8.6954768799e-01
   10        07.50  2.0585920800e+00  4.8802405600e-01  1.5705680240e+00  7.6293309357e-01  2.8320736700e+02  1.8880576200e+03  8.6748335036e-01
   10        07.60  2.0368185000e+00  4.7104522600e-01  1.5657732740e+00  7.6873480578e-01  2.8320736700e+02  1.8880576200e+03  8.6534822331e-01
   10        07.70  2.0159318400e+00  4.5439288000e-01  1.5615389600e+00  7.7459908565e-01  2.8320736700e+02  1.8880576200e+03  8.6283662489e-01
   10        07.80  1.9968602700e+00  4.3869149700e-01  1.5581687730e+00  7.8030936686e-01  2.8320736700e+02  1.8880576200e+03  8.6080494990e-01
   10        07.90  1.9611523200e+00  4.2999404700e-01  1.5311582730e+00  7.8074418666e-01  2.8320736700e+02  1.8880576200e+03  8.5956400939e-01
   10        08.00  1.9270937400e+00  4.2150950400e-01  1.5055842360e+00  7.8127192505e-01  2.8320736700e+02  1.8880576200e+03  8.5845902585e-01
   10        08.10  1.8940451100e+00  4.1338861000e-01  1.4806565000e+00  7.8174299661e-01  2.8320736700e+02  1.8880576200e+03  8.5745783036e-01
