 Deff   Wavelength   Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10    0.8620000	 2.1990122800e+00  4.7276356800e-05  2.1989650036e+00  9.9997850109e-01  5.6478466000e+01  3.7649151600e+02  8.3507043611e-01
   10    0.8770000	 2.2014710900e+00  5.5863180000e-05  2.2014152268e+00  9.9997462461e-01  5.6478466000e+01  3.7649154700e+02  8.3440502117e-01
   10    0.8930000	 2.2041611700e+00  6.8716297400e-05  2.2040924537e+00  9.9996882429e-01  5.6478466000e+01  3.7649154700e+02  8.3399434915e-01
   10    0.9090000	 2.2067802000e+00  8.4768100400e-05  2.2066954319e+00  9.9996158743e-01  5.6478466000e+01  3.7649154700e+02  8.3328228113e-01
   10    0.9260000	 2.2095522900e+00  1.3451294200e-04  2.2094177771e+00  9.9993912208e-01  5.6478462200e+01  3.7649151600e+02  8.3252945792e-01
   10    0.9350000	 2.2110154600e+00  1.7927317800e-04  2.2108361868e+00  9.9991891817e-01  5.6478466000e+01  3.7649151600e+02  8.3213290291e-01
   10    0.9430000	 2.2123131800e+00  2.4248262300e-04  2.2120706974e+00  9.9989039408e-01  5.6478466000e+01  3.7649154700e+02  8.3178315743e-01
   10    0.9520000	 2.2136035000e+00  3.7293747300e-04  2.2132305625e+00  9.9983152472e-01  5.6478466000e+01  3.7649154700e+02  8.3179915897e-01
   10    0.9620000	 2.2152168800e+00  5.4452719600e-04  2.2146723528e+00  9.9975418786e-01  5.6478466000e+01  3.7649151600e+02  8.3137291466e-01
   10    0.9730000	 2.2169885600e+00  5.9563334800e-04  2.2163929267e+00  9.9973133224e-01  5.6478466000e+01  3.7649151600e+02  8.3088384520e-01
   10    0.9800000	 2.2181143800e+00  5.8285967700e-04  2.2175315203e+00  9.9973722740e-01  5.6478466000e+01  3.7649151600e+02  8.3056565818e-01
   10    0.9900000	 2.2197196500e+00  5.4515246300e-04  2.2191744975e+00  9.9975440481e-01  5.6478466000e+01  3.7649154700e+02  8.3010734005e-01
   10    1.0000000	 2.2213215800e+00  4.8334858700e-04  2.2208382314e+00  9.9978240495e-01  5.6478466000e+01  3.7649154700e+02  8.2964437385e-01
   10    1.0100000	 2.2229199400e+00  4.0817755500e-04  2.2225117624e+00  9.9981637775e-01  5.6478466000e+01  3.7649154700e+02  8.2917804300e-01
   10    1.0200000	 2.2245149600e+00  3.3143756400e-04  2.2241835224e+00  9.9985100682e-01  5.6478466000e+01  3.7649154700e+02  8.2870994195e-01
   10    1.0310000	 2.2262647200e+00  2.6997068200e-04  2.2259947493e+00  9.9987873379e-01  5.6478466000e+01  3.7649154700e+02  8.2819609244e-01
   10    1.0420000	 2.2280099400e+00  2.2091571000e-04  2.2277890243e+00  9.9990084617e-01  5.6478466000e+01  3.7649154700e+02  8.2768183968e-01
   10    1.0530000	 2.2297503900e+00  1.9089120900e-04  2.2295594988e+00  9.9991438898e-01  5.6478466000e+01  3.7649151600e+02  8.2716787158e-01
   10    1.0700000	 2.2324304600e+00  1.7291074600e-04  2.2322575493e+00  9.9992254597e-01  5.6478466000e+01  3.7649154700e+02  8.2637243121e-01
   10    1.0870000	 2.2329165900e+00  1.8479781300e-04  2.2327317922e+00  9.9991723927e-01  5.6478466000e+01  3.7649151600e+02  8.2673243310e-01
